"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.871189600E-1	-4.809573650E0	4.606183529E0	7.270591736E0	9.859534958E0
1.881587520E-1	-4.766502857E0	4.599005222E0	7.247859955E0	9.818445521E0
1.891915640E-1	-4.724628448E0	4.587040901E0	7.247859955E0	9.792575357E0
1.902173970E-1	-4.689932346E0	4.577469826E0	7.271788120E0	9.789157159E0
1.912293250E-1	-4.651647091E0	4.579862595E0	7.278966427E0	9.777336769E0
1.922273450E-1	-4.607379913E0	4.583451748E0	7.281359196E0	9.759824349E0
1.932243250E-1	-4.577469826E0	4.590630054E0	7.298109055E0	9.761634601E0
1.942216160E-1	-4.560719967E0	4.616951466E0	7.311269760E0	9.776045875E0
1.952186470E-1	-4.552345276E0	4.645665169E0	7.337590694E0	9.805421438E0
1.962167720E-1	-4.535595417E0	4.671986103E0	7.368697166E0	9.833451981E0
1.972137520E-1	-4.520041943E0	4.680361271E0	7.390232563E0	9.846425652E0
1.982109390E-1	-4.500899315E0	4.668396950E0	7.427321434E0	9.859874665E0
1.992079180E-1	-4.479363918E0	4.657629490E0	7.445267677E0	9.858510251E0
2.002060430E-1	-4.457828522E0	4.656432629E0	7.475177765E0	9.870809621E0
2.012033870E-1	-4.435096741E0	4.654039860E0	7.523034573E0	9.895767747E0
2.022010950E-1	-4.415954113E0	4.651647091E0	7.569694519E0	9.921630234E0
2.031984390E-1	-4.400400639E0	4.650450706E0	7.572087288E0	9.915983232E0
2.041967720E-1	-4.383651257E0	4.643272400E0	7.556533813E0	9.893309870E0
2.051947410E-1	-4.357329845E0	4.640879631E0	7.582854748E0	9.900695595E0
2.061923450E-1	-4.334598064E0	4.639683247E0	7.610372543E0	9.911264867E0
2.071974500E-1	-4.319045067E0	4.625326157E0	7.646264553E0	9.925379285E0
2.082114080E-1	-4.293920040E0	4.604987144E0	7.674978733E0	9.927182605E0
2.092165640E-1	-4.280759811E0	4.581058979E0	7.712067604E0	9.939164586E0
2.102129180E-1	-4.264009953E0	4.563112736E0	7.751548767E0	9.954410430E0
