"Time (s)"	"Velocity (m/s)"	"Gyroscope y (rad/s)"
8.917815458E0	-4.274622917E-2	-1.068655729E0
8.957509208E0	-5.948663235E-2	-1.487165809E0
8.997204208E0	3.617905378E-2	9.044763446E-1
9.036898208E0	-2.301078320E-2	-5.752695799E-1
9.076593208E0	-1.002442718E-2	-2.506106794E-1
9.116287208E0	-3.877158403E-2	-9.692896008E-1
9.155981208E0	-5.286800385E-2	-1.321700096E0
9.195676208E0	-5.989924908E-2	-1.497481227E0
9.235370208E0	-4.444377899E-2	-1.111094475E0
9.275064208E0	-3.278049469E-2	-8.195123672E-1
9.314759208E0	-1.710019231E-2	-4.275048077E-1
9.354453208E0	-6.234935284E-2	-1.558733821E0
9.394148208E0	-5.803740025E-2	-1.450935006E0
9.433842208E0	-4.290916443E-2	-1.072729111E0
9.473536208E0	-8.672664642E-2	-2.168166161E0
9.513231208E0	3.348460793E-3	8.371151984E-2
9.552925208E0	3.884814024E-2	9.712035060E-1
9.592620208E0	-1.468205833E-1	-3.670514584E0
9.632314208E0	-2.950991631E-1	-7.377479076E0
9.672008208E0	8.418627739E-2	2.104656935E0
9.711703208E0	5.842652321E-2	1.460663080E0
9.751397208E0	2.429338837E-1	6.073347092E0
9.791092208E0	5.521147251E-2	1.380286813E0
9.830786208E0	1.211027861E-2	3.027569652E-1
9.870480208E0	1.725763202E-2	4.314408004E-1
9.910175208E0	1.133927345E-2	2.834818363E-1
9.949869208E0	1.003816605E-1	2.509541512E0
9.989567708E0	-4.511161804E-2	-1.127790451E0
1.002926171E1	-3.386801720E-2	-8.467004299E-1
1.006895571E1	-5.171866417E-2	-1.292966604E0
1.010865071E1	-2.321186066E-2	-5.802965164E-1
1.014834471E1	7.118254185E-2	1.779563546E0
1.018803971E1	3.291765690E-2	8.229414225E-1
1.022773371E1	6.006886959E-2	1.501721740E0
1.026742771E1	7.167312145E-2	1.791828036E0
1.030712271E1	2.764410496E-2	6.911026239E-1
1.034681671E1	2.860875845E-2	7.152189612E-1
1.038651171E1	2.502894640E-2	6.257236600E-1
1.042620571E1	2.374586344E-2	5.936465859E-1
1.046589971E1	3.822333574E-2	9.555833936E-1
1.050559471E1	3.464149475E-2	8.660373688E-1
1.054528871E1	-2.358579397E-2	-5.896448493E-1
1.058498371E1	-8.675377846E-2	-2.168844461E0
